record_id,scenario_family,source_name,expected_ctes,predicted_ctes,expected_abstentions,predicted_abstentions,status,errors
web500-0001,gs1-ship-bizstep,GS1 EPCIS Standard,"[""shipping""]","[""shipping""]",[],[],pass,[]
web500-0002,gs1-ship-bizstep,GS1 EPCIS Standard,"[""shipping""]","[""shipping""]",[],[],pass,[]
web500-0003,gs1-ship-bizstep,GS1 EPCIS Standard,"[""shipping""]","[""shipping""]",[],[],pass,[]
web500-0004,gs1-ship-bizstep,GS1 EPCIS Standard,"[""shipping""]","[""shipping""]",[],[],pass,[]
web500-0005,gs1-ship-bizstep,GS1 EPCIS Standard,"[""shipping""]","[""shipping""]",[],[],pass,[]
web500-0006,gs1-ship-bizstep,GS1 EPCIS Standard,"[""shipping""]","[""shipping""]",[],[],pass,[]
web500-0007,gs1-ship-bizstep,GS1 EPCIS Standard,"[""shipping""]","[""shipping""]",[],[],pass,[]
web500-0008,gs1-ship-bizstep,GS1 EPCIS Standard,"[""shipping""]","[""shipping""]",[],[],pass,[]
web500-0009,gs1-ship-bizstep,GS1 EPCIS Standard,"[""shipping""]","[""shipping""]",[],[],pass,[]
web500-0010,gs1-ship-bizstep,GS1 EPCIS Standard,"[""shipping""]","[""shipping""]",[],[],pass,[]
web500-0011,gs1-receive-bizstep,GS1 EPCIS Standard,"[""receiving""]","[""receiving""]",[],[],pass,[]
web500-0012,gs1-receive-bizstep,GS1 EPCIS Standard,"[""receiving""]","[""receiving""]",[],[],pass,[]
web500-0013,gs1-receive-bizstep,GS1 EPCIS Standard,"[""receiving""]","[""receiving""]",[],[],pass,[]
web500-0014,gs1-receive-bizstep,GS1 EPCIS Standard,"[""receiving""]","[""receiving""]",[],[],pass,[]
web500-0015,gs1-receive-bizstep,GS1 EPCIS Standard,"[""receiving""]","[""receiving""]",[],[],pass,[]
web500-0016,gs1-receive-bizstep,GS1 EPCIS Standard,"[""receiving""]","[""receiving""]",[],[],pass,[]
web500-0017,gs1-receive-bizstep,GS1 EPCIS Standard,"[""receiving""]","[""receiving""]",[],[],pass,[]
web500-0018,gs1-receive-bizstep,GS1 EPCIS Standard,"[""receiving""]","[""receiving""]",[],[],pass,[]
web500-0019,gs1-receive-bizstep,GS1 EPCIS Standard,"[""receiving""]","[""receiving""]",[],[],pass,[]
web500-0020,gs1-receive-bizstep,GS1 EPCIS Standard,"[""receiving""]","[""receiving""]",[],[],pass,[]
web500-0021,gs1-transform-input-output,GS1 EPCIS Standard,"[""transformation""]","[""transformation""]",[],[],pass,[]
web500-0022,gs1-transform-input-output,GS1 EPCIS Standard,"[""transformation""]","[""transformation""]",[],[],pass,[]
web500-0023,gs1-transform-input-output,GS1 EPCIS Standard,"[""transformation""]","[""transformation""]",[],[],pass,[]
web500-0024,gs1-transform-input-output,GS1 EPCIS Standard,"[""transformation""]","[""transformation""]",[],[],pass,[]
web500-0025,gs1-transform-input-output,GS1 EPCIS Standard,"[""transformation""]","[""transformation""]",[],[],pass,[]
web500-0026,gs1-transform-input-output,GS1 EPCIS Standard,"[""transformation""]","[""transformation""]",[],[],pass,[]
web500-0027,gs1-transform-input-output,GS1 EPCIS Standard,"[""transformation""]","[""transformation""]",[],[],pass,[]
web500-0028,gs1-transform-input-output,GS1 EPCIS Standard,"[""transformation""]","[""transformation""]",[],[],pass,[]
web500-0029,gs1-transform-input-output,GS1 EPCIS Standard,"[""transformation""]","[""transformation""]",[],[],pass,[]
web500-0030,gs1-transform-input-output,GS1 EPCIS Standard,"[""transformation""]","[""transformation""]",[],[],pass,[]
web500-0031,gs1-pallet-shipping,GS1 EPCIS Standard,"[""shipping""]","[""shipping""]",[],[],pass,[]
