record_id,source_record_id,scenario_family,source_name,source_url,source_basis,source_file,event_type,biz_step,product,product_category,lot_or_batch,observed_text,expected_ctes,expected_abstentions,gold_label_method
web2000-0001,000000000054,open_food_facts_product_metadata,Open Food Facts static bulk TSV,https://static.openfoodfacts.org/data/en.openfoodfacts.org.products.csv.gz,Public Open Food Facts product metadata row streamed from the static bulk dataset.,en.openfoodfacts.org.products.csv.gz,product_metadata,,Limonade artisanale a la rose,,,Open Food Facts product metadata row code 000000000054; product_name=Limonade artisanale a la rose; countries=en:fr,[],[],product_metadata_not_transaction_event
web2000-0002,000000000063,open_food_facts_product_metadata,Open Food Facts static bulk TSV,https://static.openfoodfacts.org/data/en.openfoodfacts.org.products.csv.gz,Public Open Food Facts product metadata row streamed from the static bulk dataset.,en.openfoodfacts.org.products.csv.gz,product_metadata,,M&amp;M white,,,"Open Food Facts product metadata row code 000000000063; product_name=M&amp;M white; brands=Fitpiggy; quantity=80 gram; countries=en:fr; ingredients_text=Weizenmehl, Rapsöl, Speisesalz, 1,7% Meersalz, Fefe, Gerstenmaizextrakt, Säureregulator: Natrium - hydroxid; Backtriebnittel: Ammoniumcarbonate. Das Produkt kann Spuren von Sesam enthalten. DURCHSCHNITTLICHE NÄHRWERTE - pro %RM* 100g pro 100g Brennwert kJ/k...",[],[],product_metadata_not_transaction_event
web2000-0003,000000000114,open_food_facts_product_metadata,Open Food Facts static bulk TSV,https://static.openfoodfacts.org/data/en.openfoodfacts.org.products.csv.gz,Public Open Food Facts product metadata row streamed from the static bulk dataset.,en.openfoodfacts.org.products.csv.gz,product_metadata,,Chocolate n3,,,Open Food Facts product metadata row code 000000000114; product_name=Chocolate n3; brands=Jeff de Bruges; quantity=80 g; countries=France,[],[],product_metadata_not_transaction_event
web2000-0004,000000000431,open_food_facts_product_metadata,Open Food Facts static bulk TSV,https://static.openfoodfacts.org/data/en.openfoodfacts.org.products.csv.gz,Public Open Food Facts product metadata row streamed from the static bulk dataset.,en.openfoodfacts.org.products.csv.gz,product_metadata,,Pâte de fruits,,,Open Food Facts product metadata row code 000000000431; product_name=Pâte de fruits; countries=en:fr,[],[],product_metadata_not_transaction_event
web2000-0005,0000000105,open_food_facts_product_metadata,Open Food Facts static bulk TSV,https://static.openfoodfacts.org/data/en.openfoodfacts.org.products.csv.gz,Public Open Food Facts product metadata row streamed from the static bulk dataset.,en.openfoodfacts.org.products.csv.gz,product_metadata,,Paleta gran reserva - Sierra nevada-,"Bebidas y preparaciones de bebidas, Bebidas",,"Open Food Facts product metadata row code 0000000105; product_name=Paleta gran reserva - Sierra nevada-; brands=AdvoCare; quantity=750ml; categories=Bebidas y preparaciones de bebidas, Bebidas; countries=Spanien, Germany; ingredients_text=Thiamin, Biotin, Chromium, Garcinia cambogia fruit extract, Taurine, Green coffee fruit extract, Caffeine, Inositol, Citric Acid, Natural , Artificial Flavors, Sucralose, Spirulina Extract, Beta Carotene",[],[],product_metadata_not_transaction_event
web2000-0006,0000000475,open_food_facts_product_metadata,Open Food Facts static bulk TSV,https://static.openfoodfacts.org/data/en.openfoodfacts.org.products.csv.gz,Public Open Food Facts product metadata row streamed from the static bulk dataset.,en.openfoodfacts.org.products.csv.gz,product_metadata,,Confiture extra citron de Menton,,,Open Food Facts product metadata row code 0000000475; product_name=Confiture extra citron de Menton; quantity=230 g; countries=en:fr,[],[],product_metadata_not_transaction_event
web2000-0007,00000006666,open_food_facts_product_metadata,Open Food Facts static bulk TSV,https://static.openfoodfacts.org/data/en.openfoodfacts.org.products.csv.gz,Public Open Food Facts product metadata row streamed from the static bulk dataset.,en.openfoodfacts.org.products.csv.gz,product_metadata,,6666,,,"Open Food Facts product metadata row code 00000006666; product_name=6666; quantity=1pcs; countries=Germany, en:france",[],[],product_metadata_not_transaction_event
web2000-0008,00000007,open_food_facts_product_metadata,Open Food Facts static bulk TSV,https://static.openfoodfacts.org/data/en.openfoodfacts.org.products.csv.gz,Public Open Food Facts product metadata row streamed from the static bulk dataset.,en.openfoodfacts.org.products.csv.gz,product_metadata,,granola Bio le Chocolaté,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Produits déshydratés, Aliments à base...",,"Open Food Facts product metadata row code 00000007; product_name=granola Bio le Chocolaté; brands=Mg ricarica; quantity=450g; categories=Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Produits déshydratés, Aliments à base de plantes séchées, Fruits secs; countries=Spanien, Germany; ingredients_text=HONIG stillende Frauen nicht geeignet. D bestrahlung vermeiden und be trocken lagern. X000V0XH07",[],[],product_metadata_not_transaction_event
web2000-0009,00000009,open_food_facts_product_metadata,Open Food Facts static bulk TSV,https://static.openfoodfacts.org/data/en.openfoodfacts.org.products.csv.gz,Public Open Food Facts product metadata row streamed from the static bulk dataset.,en.openfoodfacts.org.products.csv.gz,product_metadata,,xytitol pastilles,"it:Gestione sovrappeso, it:obesità, Wrap",,"Open Food Facts product metadata row code 00000009; product_name=xytitol pastilles; brands=xylimgxyling; quantity=700ml; categories=it:Gestione sovrappeso, it:obesità, Wrap; countries=Germany,Spain",[],[],product_metadata_not_transaction_event
web2000-0010,00000010,open_food_facts_product_metadata,Open Food Facts static bulk TSV,https://static.openfoodfacts.org/data/en.openfoodfacts.org.products.csv.gz,Public Open Food Facts product metadata row streamed from the static bulk dataset.,en.openfoodfacts.org.products.csv.gz,product_metadata,,xxx,"Beverages and beverages preparations, Beverages, Snacks, Desserts, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Cakes, Pound Cake, Madeleines, Plain madele...",,"Open Food Facts product metadata row code 00000010; product_name=xxx; brands=xxx; quantity=700ml; packaging=Plastic,Cardboard,fr:Boîte en carton,fr:Film en plastique; categories=Beverages and beverages preparations, Beverages, Snacks, Desserts, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Cakes, Pound Cake, Madeleines, Plain madeleines; manufacturing_places=France; countries=DE; stores=M2I,Bijou; ingredients_text=Farine de blé 33%, sucre, huile de colza, œufs de poules élevées en plein air 18%, sirop de glucose-fructose, Un stabilisant : glycérol, poudres à lever : carbonates d'ammonium-carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé...",[],[],product_metadata_not_transaction_event
